Team,BPI,RAPTOR
Oklahoma City Thunder,-7.27,1349
Detroit Pistons,-6.74,1348
Houston Rockets,-6.37,1322
Orlando Magic,-6.34,1358
San Antonio Spurs,-5.3,1446
Portland Trail Blazers,-3.59,1525
Indiana Pacers,-3.35,1492
Sacremento Kings,-1.89,1470
New York Knicks,-1.53,1553
Chicago Bulls,-1.15,1497
Washington Wizards,-0.28,1467
Los Angeles Lakers,0.1,1470
Utah Jazz,0.15,1510
Los Angeles Clippers,0.3,1602
Charlotte Hornets,0.71,1506
Toronto Raptors,0.65,1640
New Orleans Pelicans,1.59,1556
Minnesota Timberwolves,1.83,1605
Miami Heat,1.78,1647
Denver Nuggets,2.29,1650
Cleveland Caviliers,2.43,1580
Brooklyn Nets,2.54,1616
Memphis Grizzlies,2.66,1634
Golden State Warriors,3.15,1622
Milwaukee Bucks,3.2,1611
Dallas Mavericks,3.22,1638
Phoenix Suns,3.68,1622
Atlanta Hawks,3.86,1618
Philidelphia 76ers,6.06,1642
Boston Celtics,6.58,1693